dataset,recording,item,reason
ds004703,sub-SD012_ses-02_task-PassiveListen,Cz,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C4,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C100,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C101,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C102,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C103,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C104,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C105,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C106,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C107,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C108,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C109,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C110,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C111,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C112,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C113,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C114,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C115,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C116,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C117,README unused C-prefix channel; exclude at S06
